code	population
01	656.955
02	526.05
03	331.315
04	165.197
05	141.756
06	1079.396
07	326.875
08	265.531
09	152.398
10	309.907
11	372.705
12	278.36
13	2034.469
14	691.453
15	142.811
16	348.18
17	647.08
18	296.404
19	240.336
2A	162.421
2B	182.258
21	532.886
22	596.186
23	116.27
24	408.393
25	539.449
26	520.56
27	600.687
28	429.425
29	906.554
30	748.468
31	1400.935
32	190.04
33	1633.44
34	1176.145
35	1082.073
36	217.139
37	605.38
38	1264.979
39	257.849
40	411.979
41	327.835
42	764.737
43	226.901
44	1437.137
45	682.89
46	173.166
47	330.336
48	76.286
49	815.881
50	490.669
51	563.823
52	169.25
53	305.365
54	730.398
55	181.641
56	755.566
57	1035.866
58	199.596
59	2588.988
60	825.077
61	276.903
62	1452.778
63	660.24
64	683.169
65	226.839
66	479
67	1132.607
68	763.204
69	1876.051
70	233.194
71	547.824
72	560.227
73	432.548
74	828.405
75	2148.271
76	1243.788
77	1423.607
78	1448.625
79	372.627
80	569.769
81	387.898
82	262.618
83	1073.836
84	560.997
85	683.187
86	437.398
87	370.774
88	359.52
89	332.096
90	140.145
91	1319.401
92	1613.762
93	1670.149
94	1406.041
95	1248.354
971	376.879
972	358.749
973	290.691
974	859.959
975	279.471
